#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237651752944468112,198.016009992392,1.64556542809982,16.90902,15.53707,14.91802,14.59094,14.36928,1462,301,2,485,591132124212389888,GALAXY,0.0290172,525,52295,126
1237651752944468174,198.084878534568,1.66911743022939,19.29113,17.4465,16.49109,16.09714,15.80416,1462,301,2,485,591131849334482944,GALAXY,0.09954652,525,52295,125
1237651752944533683,198.155161139549,1.71846122472277,19.50868,17.56078,16.5514,16.09785,15.72975,1462,301,2,486,591143669084481536,GALAXY,0.1104257,525,52295,168
1237651752944599225,198.319787879177,1.59964107107539,19.07044,18.10373,17.8184,17.55227,17.47413,1462,301,2,487,591123328119367680,GALAXY,0.09828539,525,52295,94
1237651752944664737,198.401975307351,1.78749241129254,19.31644,17.81097,16.94424,16.46422,16.13091,1462,301,2,488,591138446404249600,GALAXY,0.1125803,525,52295,149
1237651752944730186,198.568736001772,1.73843482312885,19.0007,17.86514,17.21441,16.83751,16.5882,1462,301,2,489,591136247380994048,GALAXY,0.137422,525,52295,141
1237651752944861320,198.907997129644,1.77551779688715,18.13391,16.877,16.63439,16.46157,16.38901,1462,301,2,491,591115356660066304,GALAXY,0.03687532,525,52295,65
1237651752944926824,199.075322235999,1.77785667941255,19.29577,18.0407,17.40566,17.028,16.74665,1462,301,2,492,592309151695136768,GALAXY,0.1082962,526,52312,312
1237651752944926843,199.088243739738,1.61485806203639,18.14614,16.66023,15.89084,15.4917,15.17084,1462,301,2,492,591098039351928832,GALAXY,0.0359304,525,52295,2
1237651752944926881,199.120362342285,1.66672922319313,18.17023,16.43898,15.70535,15.34327,15.04183,1462,301,2,492,591100788130998272,GALAXY,0.07279819,525,52295,12
1237651752944926894,199.127643502632,1.77682804583243,18.91881,17.69621,17.17546,16.83838,16.68062,1462,301,2,492,592308052183508992,GALAXY,0.08115145,526,52312,308
1237651752944992267,199.159748295234,1.69768566101564,18.55,16.98303,16.50475,16.23927,16.11351,1462,301,2,493,591115081782159360,GALAXY,0.03586502,525,52295,64
1237651752944992470,199.256252566353,1.77201113232327,19.59674,18.19493,17.71804,17.4839,17.22587,1462,301,2,493,592295957555603456,GALAXY,0.03622931,526,52312,264
1237651752945123473,199.507372667209,1.73617884229679,18.88971,17.1732,16.32162,15.90063,15.56485,1462,301,2,495,592300355602114560,GALAXY,0.0473809,526,52312,280
1237651752945123501,199.55856427038,1.72674149219342,19.23483,18.27752,18.00814,17.73045,17.79622,1462,301,2,495,592286886584674304,GALAXY,0.06932292,526,52312,231
